name,code
Satyrium fuliginosa,SATFUL
"",?-SP
Hesperiidae,F-HESP
Papilioninae,SF-PAPI
Pieridae,F-PIER
Lycaenidae,F-LYCA
Nymphalidae,F-NYMP
Phyciodes,PHY-SP
Polygonia,POLY-SP
Hesperia,HES-SP
Poladryas arachne,POLARA
Butterfly,BFLY
Enodia,ENO-SP
Papilio,PAP-SP
Asterocampa,AST-SP
Cercyonis,CER-SP
Pieris,PIE-SP
Urbanus,URB-SP
Vanessa,VAN-SP
Lycaeninae,?-SP
Danaus,DAN-SP
Anaea,ANA-SP
Eurema,EUR-SP
Junonia,JUN-SP
Phoebis,PHOE-SP
Amblyscirtes,AMB-SP
Euphydryas,EUPH-SP
Nymphalis,NYM-SP
Parnassius,PARN-SP
Plebejus,PLE-SP
Phoebis neleis,PHOESTA
Piruna ajijiciensis,TBD
Wallengrenia,WAL-SP
Nastra,NAS-SP
Boloria montinus (formerly titania),BOLOMON
Lycaena,LYCA-SP
Poanes,POA-SP
Polites,POLI-SP
Euphilotes,EUP-SP
Pontia,PON-SP
Coenonympha,COE-SP
Heteropterinae,SF-HETE
Agriades,AGR-SP
Chlosyne,CHLO-SP
Oeneis,OEN-SP
Panoquina lucas,PANSYL
Panthiades bathildis,TBD
Ochlodes,OCH-SP
Calephelis,CAL-SP
Erebia,ERE-SP
Euchloe,EUC-SP
Parnassius phoebus behrii,PARNPHO
NULL,?-SP
Anthocharis,ANTH-SP
Notamblyscirtes simius,AMBSIM
Celotes,CELO-SP
Celastrina ladon serotina,CELLAD
Marpesia,MAR-SP
Hemiargus,HEM-SP
Euphyes,EUPY-SP
Strymon,STR-SP
Everes,EVE-SP
Calycopis,CALY-SP
Lycaeides,LYC-SP
Limenitis,LIM-SP
Riodinidae,F-RIOD
Pholisora,PHOL-SP
Problema,PRO-SP
Heliopetes,HELI-SP
Staphylus,STAP-SP
Electrostrymon mathewi,TBD
Megathymus,MEG-SP
Limenitidinae,SF-LIME
Euphilotes enoptes enoptes,EUPENO
Atlides rustan,TBD
Euptoieta,EUPT-SP
Thessalia leanira,CHLOLEA
Thessalia fulvia,CHLOFUL
Michaelus ira,TBD
Dynamine postverta,NOT-IN-NA
Temenis loathoe,TBD
Thessalia theona,CHLOTHE
Callimormus saturnus,TBD
Thessalia cyneas,CHLOCYN
Ministrymon janevicroy,TBD
Astraptes talus,TBD
Anastrus sempiternus,TBD
Antigonus erosus,TBD
Mimoides phaon,TBD
Zizina Otis,TBD
Melete lycimnia,TBD
Saliana esperi,TBD
Heliopetes alana,TBD
Pieris  napi,PIENAP
Euphys sp.,?-SP
Zizina otis,TBD
Phocides belus,TBD
Pieriballia viardi,TBD
Pteronymia cotytto,TBD
Archaeoprepona demophon,TBD
Anaea forreri,TBD
Megathymus cofaqui (includes harrisi),MEGCOF
"""""""""Colias boothi"""""""" hecla x nastes?",COLBOO
Erebia kozhantshikovi (includes lafontainei),EREKOZ
Danainae,?-SP
Erebia dabanensis (includes youngi),EREDAB
Oeneis alpina (includes exubitor),OENALP
Oeneis rosovi (includes philipi),OENROS
Achalarus sp.,ACH-SP
Achalarus albociliatus,ACHALB
Achalarus casica,ACHCAS
Achalarus jalapus,ACHJAL
Achlyodes thraso,ACHLTHR
Achalarus lyciades,ACHLYC
Achalarus toxeus,ACHTOX
Adelpha sp.,ADE-SP
Adelpha basiloides,ADEBAS
Adelpha bredowii,ADEBRE
Adelpha fessonia,ADEFES
Adopaeoides prittwitzi,ADOPRI
Agathymus sp.,AGA-SP
Agathymus alliae,AGAALL
Agathymus aryxna,AGAARY
Agathymus aryxna baueri,AGAARY
Agathymus aryxna gentryi,AGAARY
Agathymus evansi,AGAEVA
Agathymus mariae,AGAMAR
Agathymus neumoegeni,AGANEU
Agathymus polingi,AGAPOL
