code,genus,species,common.name,code.messy,tax.messy.level
HYPLMIS,Hypolimnas,misippus,Mimic,SF-NYMP,SUBFAMILY
HYPNLET,Hypanartia,lethe,Orange Mapwing,SF-NYMP,SUBFAMILY
JUNCOE,Junonia,coenia,Common Buckeye,SF-NYMP,SUBFAMILY
JUNEVA,Junonia,evarete,Mangrove Buckeye,SF-NYMP,SUBFAMILY
JUNGEN,Junonia,genoveva,Tropical Buckeye,SF-NYMP,SUBFAMILY
MICELV,Microtia,elva,Elf,SF-NYMP,SUBFAMILY
NYMANT,Nymphalis,antiopa,Mourning Cloak,SF-NYMP,SUBFAMILY
NYMCAL,Nymphalis,californica,California Tortoiseshell,SF-NYMP,SUBFAMILY
NYMMIL,Nymphalis,milberti,Milbert's Tortoiseshell,SF-NYMP,SUBFAMILY
NYMURT,Nymphalis,urticae,Small Tortoiseshell,SF-NYMP,SUBFAMILY
NYMVAU,Nymphalis,vaualbum,Compton Tortoiseshell,SF-NYMP,SUBFAMILY
PHYARG,Phyciodes,argentea,Chestnut Crescent,SF-NYMP,SUBFAMILY
PHYBAT,Phyciodes,batesii,Tawny Crescent,SF-NYMP,SUBFAMILY
PHYCAM,Phyciodes,campestris,Field Crescent,SF-NYMP,SUBFAMILY
PHYFRI,Phyciodes,frisia,Cuban Crescent,SF-NYMP,SUBFAMILY
PHYMYL,Phyciodes,mylitta,Mylitta Crescent,SF-NYMP,SUBFAMILY
PHYORS,Phyciodes,orseis,California Crescent,SF-NYMP,SUBFAMILY
PHYPAL,Phyciodes,pallida,Pale Crescent,SF-NYMP,SUBFAMILY
PHYPHA,Phyciodes,phaon,Phaon Crescent,SF-NYMP,SUBFAMILY
PHYPIC,Phyciodes,picta,Painted Crescent,SF-NYMP,SUBFAMILY
PHYPTO,Phyciodes,ptolyca,Black Crescent,SF-NYMP,SUBFAMILY
PHYSEL,Phyciodes,selenis,Northern Crescent,SF-NYMP,SUBFAMILY
PHYTEX,Phyciodes,texana,Texan Crescent,SF-NYMP,SUBFAMILY
PHYTEX,Phyciodes,texana,'Texan' Texan Crescent,SF-NYMP,SUBFAMILY
PHYTEX,Phyciodes,texana,Seminole' Texan Crescent,SF-NYMP,SUBFAMILY
PHYTHA,Phyciodes,tharos,Pearl Crescent,SF-NYMP,SUBFAMILY
PHYTUL,Phyciodes,tulcis,Pale-banded Crescent,SF-NYMP,SUBFAMILY
PHYVES,Phyciodes,vesta,Vesta Crescent,SF-NYMP,SUBFAMILY
POLARA,Polyadryas,arachne,Arachne Checkerspot,SF-NYMP,SUBFAMILY
POLMIN,Poladryas,minuta,Dotted Checkerspot,SF-NYMP,SUBFAMILY
POLYCOM,Polygonia,comma,Eastern Comma,SF-NYMP,SUBFAMILY
POLYFAU,Polygonia,faunus,Green Comma,SF-NYMP,SUBFAMILY
POLYFAU,Polygonia,faunus,'Green' Green Comma,SF-NYMP,SUBFAMILY
POLYFAU,Polygonia,faunus,'Sylvan' Green Comma,SF-NYMP,SUBFAMILY
POLYGRA,Polygonia,gracilis,Hoary Comma,SF-NYMP,SUBFAMILY
POLYGRA,Polygonia,gracilis,Zephyr' Hoary Comma,SF-NYMP,SUBFAMILY
POLYINT,Polygonia,interrogationis,Question Mark,SF-NYMP,SUBFAMILY
POLYORE,Polygonia,oreas,Oreas Comma,SF-NYMP,SUBFAMILY
POLYPRO,Polygonia,progne,Gray Comma,SF-NYMP,SUBFAMILY
POLYSAT,Polygonia,satyrus,Satyr Comma,SF-NYMP,SUBFAMILY
SIPEPA,Siproeta,epaphus,Rusty-tipped Page,SF-NYMP,SUBFAMILY
SIPSTE,Siproeta,stelenes,Malachite,SF-NYMP,SUBFAMILY
TEXELA,Texola,elada,Elada Checkerspot,SF-NYMP,SUBFAMILY
VANANN,Vanessa,annabella,West Coast Lady,SF-NYMP,SUBFAMILY
VANATA,Vanessa,atalanta,Red Admiral,SF-NYMP,SUBFAMILY
VANCAR,Vanessa,cardui,Painted Lady,SF-NYMP,SUBFAMILY
VANTAM,Vanessa,tameneamea,Kamehameha Lady,SF-NYMP,SUBFAMILY
VANVIR,Vanessa,virginiensis,American Lady,SF-NYMP,SUBFAMILY
BATPHI,Battus,philenor,Pipevine Swallowtail,SF-PAPI,SUBFAMILY
BATPOL,Battus,polydamas,Polydamas Swallowtail,SF-PAPI,SUBFAMILY
EURYMAR,Eurytides,marcellus,Zebra Swallowtail,SF-PAPI,SUBFAMILY
EURYPHI,Eurytides,philolaus,Dark Kite-Swallowtail,SF-PAPI,SUBFAMILY
PAPAN1,Papilio,andraemon,Bahamian Swallowtail,SF-PAPI,SUBFAMILY
PAPAN2,Papilio,androgeus,Androgeus Swallowtail,SF-PAPI,SUBFAMILY
PAPANC,Papilio,anchisiades,Ruby-spotted Swallowtail,SF-PAPI,SUBFAMILY
PAPARI,Papilio,aristodemus,Schaus' Swallowtail,SF-PAPI,SUBFAMILY
PAPAST,Papilio,astyalus,Broad-banded Swallowtail,SF-PAPI,SUBFAMILY
PAPBRE,Papilio,brevicauda,Short-tailed Swallowtail,SF-PAPI,SUBFAMILY
PAPCAN,Papilio,canadensis,Canadian Tiger Swallowtail,SF-PAPI,SUBFAMILY
PAPCRE,Papilio,cresphontes,Giant Swallowtail,SF-PAPI,SUBFAMILY
PAPEUR,Papilio,eurymedon,Pale Swallowtail,SF-PAPI,SUBFAMILY
PAPGAR,Papilio,garamas,Magnificent Swallowtail,SF-PAPI,SUBFAMILY
PAPGLA,Papilio,glaucus,Eastern Tiger Swallowtail,SF-PAPI,SUBFAMILY
PAPIND,Papilio,indra,Indra Swallowtail,SF-PAPI,SUBFAMILY
PAPJOA,Papilio,joanae,Ozark Swallowtail,SF-PAPI,SUBFAMILY
PAPMAC,Papilio,machaon,Old World Swallowtail,SF-PAPI,SUBFAMILY
PAPMAC,Papilio,machaon,'Baird's' Old World Swallowtail,SF-PAPI,SUBFAMILY
PAPMAC,Papilio,machaon,'Oregon' Swallowtail,SF-PAPI,SUBFAMILY
PAPMUL,Papilio,multicaudata,Two-tailed Swallowtail,SF-PAPI,SUBFAMILY
PAPORN,Papilio,ornythion,Ornythion Swallowtail,SF-PAPI,SUBFAMILY
PAPPAL,Papilio,palamedes,Palamedes Swallowtail,SF-PAPI,SUBFAMILY
PAPPHA,Papilio,pharnaces,Pink-spotted Swallowtail,SF-PAPI,SUBFAMILY
PAPPIL,Papilio,pilumnus,Three-tailed Swallowtail,SF-PAPI,SUBFAMILY
PAPPOL,Papilio,polyxenes,Black Swallowtail,SF-PAPI,SUBFAMILY
PAPPOL,Papilio,polyxenes,'Desert' Black Swallowtail,SF-PAPI,SUBFAMILY
PAPRUT,Papilio,rutulus,Western Tiger Swallowtail,SF-PAPI,SUBFAMILY
PAPTHO,Papilio,thoas,Thoas Swallowtail,SF-PAPI,SUBFAMILY
PAPTRO,Papilio,troilus,Spicebush Swallowtail,SF-PAPI,SUBFAMILY
PAPVIC,Papilio,victorinus,Victorine Swallowtail,SF-PAPI,SUBFAMILY
PAPXUT,Papilio,xuthus,Chinese Swallowtail,SF-PAPI,SUBFAMILY
PAPZEL,Papilio,zelicaon,Anise Swallowtail,SF-PAPI,SUBFAMILY
PARALO,Parides,alopius,White-dotted Cattleheart,SF-PAPI,SUBFAMILY
ANTHCET,Anthocharis,cethura,Desert Orangetip,SF-PIER,SUBFAMILY
ANTHCET,Anthocharis,cethura,Pima Orangetip,SF-PIER,SUBFAMILY
ANTHLAN,Anthocharis,lanceolata,Gray Marble,SF-PIER,SUBFAMILY
ANTHMID,Anthocharis,midea,Falcate Orangetip,SF-PIER,SUBFAMILY
ANTHSAR,Anthocharis,sara,Sara Orangetip,SF-PIER,SUBFAMILY
ANTHSAR,Anthocharis,sara,'Pacific' Sara Orangetip,SF-PIER,SUBFAMILY
ANTHSAR,Anthocharis,sara,'Stella' Sara Orangetip,SF-PIER,SUBFAMILY
APPDRU,Appias,drusilla,Florida White,SF-PIER,SUBFAMILY
ASCMON,Ascia,monuste,Great Southern White,SF-PIER,SUBFAMILY
CATNIM,Catasticta,nimbice,Mexican Dartwhite,SF-PIER,SUBFAMILY
EUCAUS,Euchloe,ausonides,Large Marble,SF-PIER,SUBFAMILY
EUCCRE,Euchloe,creusa,Northern Marble,SF-PIER,SUBFAMILY
EUCGUA,Euchloe,guaymasensis,Sonoran Marble,SF-PIER,SUBFAMILY
EUCHYA,Euchloe,hyantis,Pearly Marble,SF-PIER,SUBFAMILY
EUCHYA,Euchloe,hyantis,'California' Pearly Marble,SF-PIER,SUBFAMILY
EUCHYA,Euchloe,hyantis,'Desert' Pearly Marble,SF-PIER,SUBFAMILY
EUCNAI,Euchloe,naina,Green Marble,SF-PIER,SUBFAMILY
EUCOLY,Euchloe,olympia,Olympia Marble,SF-PIER,SUBFAMILY
GANHOW,Ganyra,howarthii,Howarth's White,SF-PIER,SUBFAMILY
GANJOS,Ganyra,josephina,Giant White,SF-PIER,SUBFAMILY
NEOPMEN,Neophasia,menapia,Pine White,SF-PIER,SUBFAMILY
NEOPTER,Neophasia,terlootii,Chiricahua White,SF-PIER,SUBFAMILY
PIENAP,Pieris,napi,Mustard White,SF-PIER,SUBFAMILY
PIENAP,Pieris,napi,'Veined' Mustard White,SF-PIER,SUBFAMILY
PIENAP,Pieris,napi,'Margined' Mustard White,SF-PIER,SUBFAMILY
PIERAP,Pieris,rapae,Cabbage White,SF-PIER,SUBFAMILY
PIEVIR,Pieris,virginiensis,West Virginia White,SF-PIER,SUBFAMILY
PONBEC,Pontia,beckerii,Becker's White,SF-PIER,SUBFAMILY
PONOCC,Pontia,occidentalis,Western White,SF-PIER,SUBFAMILY
PONPRO,Pontia,protodice,Checkered White,SF-PIER,SUBFAMILY
PONSIS,Pontia,sisymbrii,Spring White,SF-PIER,SUBFAMILY
AGRCAS,Agriades,cassiope,Heather Blue,SF-POLY,SUBFAMILY
AGRGLA,Agriades,glandon,Arctic Blue,SF-POLY,SUBFAMILY
AGRGLA,Agriades,glandon,Glandon' Arctic Blue,SF-POLY,SUBFAMILY
AGRGLA,Agriades,glandon,Mountain' Arctic Blue,SF-POLY,SUBFAMILY
AGRGLA,Agriades,glandon,Sierra' Arctic Blue,SF-POLY,SUBFAMILY
BREEXI,Brephidium,exile,Western Pygmy-Blue,SF-POLY,SUBFAMILY
BREISO,Brephidium,isophthalma,Eastern Pygmy-Blue,SF-POLY,SUBFAMILY
CELLAD,Celastrina,ladon,Spring Azure,SF-POLY,SUBFAMILY
CELLAD,Celastrina,ladon,'Spring' Spring Azure,SF-POLY,SUBFAMILY
CELLAD,Celastrina,ladon,'Edward's' Spring Azure,SF-POLY,SUBFAMILY
CELLAD,Celastrina,ladon,Cherry Gall' Spring Azure,SF-POLY,SUBFAMILY
CELLAD,Celastrina,ladon,'Atlantic' Spring Azure,SF-POLY,SUBFAMILY
CELLAD,Celastrina,ladon,Hops' Spring Azure,SF-POLY,SUBFAMILY
CELLAD,Celastrina,ladon,'Manitoba' Spring Azure,SF-POLY,SUBFAMILY
CELLAD,Celastrina,ladon,Summer' Spring Azure,SF-POLY,SUBFAMILY
CELNEG,Celastrina,neglectamajor,Appalachian Azure,SF-POLY,SUBFAMILY
CELNIG,Celastrina,nigra,Dusky Azure,SF-POLY,SUBFAMILY
EUPBAT,Euphilotes,battoides,Square-spotted Blue,SF-POLY,SUBFAMILY
EUPBAT,Euphilotes,battoides,'El Segundo' Square-spotted Blue,SF-POLY,SUBFAMILY
EUPBAT,Euphilotes,battoides,Bernardino' Square-spotted Blue,SF-POLY,SUBFAMILY
EUPENO,Euphilotes,enoptes,Dotted Blue,SF-POLY,SUBFAMILY
EUPENO,Euphilotes,enoptes,'Mojave' Dotted Blue,SF-POLY,SUBFAMILY
EUPENO,Euphilotes,enoptes,Dammer's' Dotted Blue,SF-POLY,SUBFAMILY
EUPRIT,Euphilotes,rita,Rita Blue,SF-POLY,SUBFAMILY
EUPRIT,Euphilotes,rita,'Pale' Rita Blue,SF-POLY,SUBFAMILY
EUPSPA,Euphilotes,spaldingi,Spalding's Blue,SF-POLY,SUBFAMILY
EVEAMY,Everes,amyntula,Western Tailed-Blue,SF-POLY,SUBFAMILY
EVECOM,Everes,comyntas,Eastern Tailed-Blue,SF-POLY,SUBFAMILY
GLALYG,Glaucopsyche,lygdamus,Silvery Blue,SF-POLY,SUBFAMILY
GLAPIA,Glaucopsyche,piasus,Arrowhead Blue,SF-POLY,SUBFAMILY
GLAXER,Glaucopsyche,xerces,Xerces Blue,SF-POLY,SUBFAMILY
HEMAMM,Hemiargus,ammon,Nickerbean Blue,SF-POLY,SUBFAMILY
HEMCER,Hemiargus,ceraunus,Ceraunus Blue,SF-POLY,SUBFAMILY
HEMISO,Hemiargus,isola,Reakirt's Blue,SF-POLY,SUBFAMILY
HEMTHO,Hemiargus,thomasi,Miami Blue,SF-POLY,SUBFAMILY
LAMBOE,Lampides,boeticus,Pea Blue,SF-POLY,SUBFAMILY
LEPCAS,Leptotes,cassius,Cassius Blue,SF-POLY,SUBFAMILY
LEPMAR,Leptotes,marina,Marine Blue,SF-POLY,SUBFAMILY
LYCIDA,Lycaeides,idas,Northern Blue,SF-POLY,SUBFAMILY
LYCMEL,Lycaeides,melissa,Melissa Blue,SF-POLY,SUBFAMILY
PHILSPE,Philotiella,speciosa,Small Blue,SF-POLY,SUBFAMILY
PHISON,Philotes,sonorensis,Sonoran Blue,SF-POLY,SUBFAMILY
PLEACM,Plebejus,acmon,Acmon Blue,SF-POLY,SUBFAMILY
PLEAMI,Plebejus,emigdionis,San Emigdio Blue,SF-POLY,SUBFAMILY
PLEICA,Plebejus,icarioides,Boisduval's Blue,SF-POLY,SUBFAMILY
PLEICA,Plebejus,icarioides,'Mission' Boisduval's Blue,SF-POLY,SUBFAMILY
PLELUP,Plebejus,lupini,Lupine Blue,SF-POLY,SUBFAMILY
PLENEU,Plebejus,neurona,Veined Blue,SF-POLY,SUBFAMILY
PLESAE,Plebejus,saepiolus,Greenish Blue,SF-POLY,SUBFAMILY
PLESHA,Plebejus,shasta,Shasta Blue,SF-POLY,SUBFAMILY
S-LYSA,Lycaeides,melissa,Karner' Melissa Blue,SF-POLY,SUBFAMILY
VACOPT,Vacciniina,optilete,Cranberry Blue,SF-POLY,SUBFAMILY
VAGBLA,Vaga,blackburni,Hawaiian Blue,SF-POLY,SUBFAMILY
ZIZCYN,Zizula,cyna,Cyna Blue,SF-POLY,SUBFAMILY
ACHALB,Achalarus,albociliatus,Skinner's Cloudywing,SF-PYRG,SUBFAMILY
ACHCAS,Achalarus,casica,Desert Cloudywing,SF-PYRG,SUBFAMILY
ACHJAL,Achalarus,jalapus,Jalapus Cloudywing,SF-PYRG,SUBFAMILY
ACHLTHR,Achlyodes,thraso,Sickle-winged Skipper,SF-PYRG,SUBFAMILY
ACHLYC,Achalarus,lyciades,Hoary Edge,SF-PYRG,SUBFAMILY
ACHTOX,Achalarus,toxeus,Coyote Cloudywing,SF-PYRG,SUBFAMILY
AGUASA,Aguna,asander,Gold-spotted Aguna,SF-PYRG,SUBFAMILY
AGUCLA,Aguna,claxon,Emerald Aguna,SF-PYRG,SUBFAMILY
AGUMET,Aguna,metophis,Tailed Aguna,SF-PYRG,SUBFAMILY
ANTIEMO,Antigonus,emorsus,White Spurwing,SF-PYRG,SUBFAMILY
ARTTRA,Arteurotia,tractipennis,Starred Skipper,SF-PYRG,SUBFAMILY
ASTRALA,Astraptes,alardus,Frosted Flasher,SF-PYRG,SUBFAMILY
ASTRANA,Astraptes,anaphus,Yellow-tipped Flasher,SF-PYRG,SUBFAMILY
ASTREGR,Astraptes,egregius,Small-spotted Flasher,SF-PYRG,SUBFAMILY
ASTRFUL,Astraptes,fulgerator,Two-barred Flasher,SF-PYRG,SUBFAMILY
ASTRGIL,Astraptes,gilberti,Gilbert's Flasher,SF-PYRG,SUBFAMILY
AUTCEL,Autochton,cellus,Golden Banded-Skipper,SF-PYRG,SUBFAMILY
AUTCIN,Autochton,cincta,Chisos Banded-Skipper,SF-PYRG,SUBFAMILY
AUTPSE,Autochton,pseudocellus,Sonoran Banded-Skipper,SF-PYRG,SUBFAMILY
BOLBRE,Bolla,brennus,Obscure Bolla,SF-PYRG,SUBFAMILY
BOLCLY,Bolla,clytius,Mottled Bolla,SF-PYRG,SUBFAMILY
CABPOT,Cabares,potrillo,Potrillo Skipper,SF-PYRG,SUBFAMILY
CARRCAN,Carrhenes,canescens,Hoary Skipper,SF-PYRG,SUBFAMILY
CELAFRI,Celaenorrhinus,fritzgaertneri,Fritzgaertner's Flat,SF-PYRG,SUBFAMILY
CELASTA,Celaenorrhinus,stallingsi,Stallings' Flat,SF-PYRG,SUBFAMILY
CELOLIM,Celotes,limpia,Scarce Streaky-Skipper,SF-PYRG,SUBFAMILY
CELONES,Celotes,nessus,Common Streaky-Skipper,SF-PYRG,SUBFAMILY
CHICAT,Chioides,catillus,White-striped Longtail,SF-PYRG,SUBFAMILY
CHIOASY,Chiomara,asychis,White-patched Skipper,SF-PYRG,SUBFAMILY
CHIOMIT,Chiomara,mithrax,Slaty Skipper,SF-PYRG,SUBFAMILY
CHIZIL,Chioides,zilpa,Zilpa Longtail,SF-PYRG,SUBFAMILY
CODALC,Codatractus,alcaeus,White-crescent Longtail,SF-PYRG,SUBFAMILY
CODARI,Codatractus,arizonensis,Arizona Skipper,SF-PYRG,SUBFAMILY
CODMYS,Codatractus,mysie,Valeriana Skipper,SF-PYRG,SUBFAMILY
COGCAI,Cogia,caicus,Gold-costa Skipper,SF-PYRG,SUBFAMILY
COGCAL,Cogia,calchas,Mimosa Skipper,SF-PYRG,SUBFAMILY
COGHIP,Cogia,hippalus,Acacia Skipper,SF-PYRG,SUBFAMILY
COGOUT,Cogia,outis,Outis Skipper,SF-PYRG,SUBFAMILY
EPACLA,Epargyreus,clarus,Silver-spotted Skipper,SF-PYRG,SUBFAMILY
EPAEXA,Epargyreus,exadeus,Broken Silverdrop,SF-PYRG,SUBFAMILY
EPAZES,Epargyreus,zestos,Zestos Skipper,SF-PYRG,SUBFAMILY
EPHBRU,Ephyriades,brunneus,Florida Duskywing,SF-PYRG,SUBFAMILY
ERYAFR,Erynnis,afranius,Afranius Duskywing,SF-PYRG,SUBFAMILY
ERYBAP,Erynnis,baptisiae,Wild Indigo Duskywing,SF-PYRG,SUBFAMILY
ERYBRI,Erynnis,brizo,Sleepy Duskywing,SF-PYRG,SUBFAMILY
ERYFUN,Erynnis,funeralis,Funereal Duskywing,SF-PYRG,SUBFAMILY
ERYHOR,Erynnis,horatius,Horace's Duskywing,SF-PYRG,SUBFAMILY
ERYICE,Erynnis,icelus,Dreamy Duskywing,SF-PYRG,SUBFAMILY
ERYJUV,Erynnis,juvenalis,Juvenal's Duskywing,SF-PYRG,SUBFAMILY
ERYJUV,Erynnis,juvenalis,'Arizona' Juvenal's Duskywing,SF-PYRG,SUBFAMILY
ERYLUC,Erynnis,lucilius,Columbine Duskywing,SF-PYRG,SUBFAMILY
ERYMAR,Erynnis,martialis,Mottled Duskywing,SF-PYRG,SUBFAMILY
ERYMER,Erynnis,meridianus,Meridian Duskywing,SF-PYRG,SUBFAMILY
ERYPAC,Erynnis,pacuvius,Pacuvius Duskywing,SF-PYRG,SUBFAMILY
ERYPER,Erynnis,persius,Persius Duskywing,SF-PYRG,SUBFAMILY
ERYPRO,Erynnis,propertius,Propertius Duskywing,SF-PYRG,SUBFAMILY
ERYSCU,Erynnis,scudderi,Scudder's Duskywing,SF-PYRG,SUBFAMILY
ERYTEL,Erynnis,telemachus,Rocky Mountain Duskywing,SF-PYRG,SUBFAMILY
ERYTRI,Erynnis,tristis,Mournful Duskywing,SF-PYRG,SUBFAMILY
ERYZAR,Erynnis,zarucco,Zarucco Duskywing,SF-PYRG,SUBFAMILY
GESGES,Gesta,gesta,False Duskywing,SF-PYRG,SUBFAMILY
GORBEG,Gorgythion,begga,Variegated Skipper,SF-PYRG,SUBFAMILY
GRASTI,Grais,stigmatica,Hermit Skipper,SF-PYRG,SUBFAMILY
HELIARS,Heliopetes,arsalte,Veined White-Skipper,SF-PYRG,SUBFAMILY
HELIDOM,Heliopetes,domicella,Erichson's White-Skipper,SF-PYRG,SUBFAMILY
HELIERI,Heliopetes,ericetorum,Northern White-Skipper,SF-PYRG,SUBFAMILY
HELILAV,Heliopetes,laviana,Laviana White-Skipper,SF-PYRG,SUBFAMILY
HELIMAC,Heliopetes,macaira,Turk's-cap White-Skipper,SF-PYRG,SUBFAMILY
HESPALP,Hesperopsis,alpheus,Saltbush Sootywing,SF-PYRG,SUBFAMILY
HESPALP,Hesperopsis,alpheus,'Saltbush' Saltbush Sootywing,SF-PYRG,SUBFAMILY
HESPALP,Hesperopsis,alpheus,MacNeill's' Saltbush Sootywing,SF-PYRG,SUBFAMILY
HESPLIB,Hesperopsis,libya,Mojave Sootywing,SF-PYRG,SUBFAMILY
NISRUB,Nisoniades,rubescens,Purplish-black Skipper,SF-PYRG,SUBFAMILY
NOCSTA,Noctuana,stator,Red-studded Skipper,SF-PYRG,SUBFAMILY
PELARI,Pellicia,arina,Glazed Pellicia,SF-PYRG,SUBFAMILY
PELDIM,Pellicia,dimidiata,Morning Glory Pellicia,SF-PYRG,SUBFAMILY
PHOLCAT,Pholisora,catullus,Common Sootywing,SF-PYRG,SUBFAMILY
PHOLMEJ,Pholisora,mejicana,Mexican Sootywing,SF-PYRG,SUBFAMILY
PHOPIG,Phocides,pigmalion,Mangrove Skipper,SF-PYRG,SUBFAMILY
PHOPOL,Phocides,polybius,Guava Skipper,SF-PYRG,SUBFAMILY
POLGLEO,Polygonus,leo,Hammock Skipper,SF-PYRG,SUBFAMILY
POLGMAN,Polygonus,manueli,Manuel's Skipper,SF-PYRG,SUBFAMILY
POLTMEX,Polythrix,mexicanus,Mexican Longtail,SF-PYRG,SUBFAMILY
POLTOCT,Polythrix,octomaculata,Eight-spotted Longtail,SF-PYRG,SUBFAMILY
PROTMER,Proteides,mercurius,Mercurial Skipper,SF-PYRG,SUBFAMILY
PYRALB,Pyrgus,albescens,White Checkered-Skipper,SF-PYRG,SUBFAMILY
PYRCEN,Pyrgus,centaureae,Grizzled Skipper,SF-PYRG,SUBFAMILY
PYRCEN,Pyrgus,centaureae,'Appalachian' Grizzled Skipper,SF-PYRG,SUBFAMILY
PYRCOM,Pyrgus,communis,Common Checkered-Skipper,SF-PYRG,SUBFAMILY
PYROIL,Pyrgus,oileus,Tropical Checkered-Skipper,SF-PYRG,SUBFAMILY
PYRPHI,Pyrgus,philetas,Desert Checkered-Skipper,SF-PYRG,SUBFAMILY
PYRRUR,Pyrgus,ruralis,Two-banded Checkered-Skipper,SF-PYRG,SUBFAMILY
PYRSCR,Pyrgus,scriptura,Small Checkered-Skipper,SF-PYRG,SUBFAMILY
PYRXAN,Pyrgus,xanthus,Mountain Checkered-Skipper,SF-PYRG,SUBFAMILY
SOSBIF,Sostrata,bifasciata,Blue-studded Skipper,SF-PYRG,SUBFAMILY
SPACLO,Spathilepia,clonius,Falcate Skipper,SF-PYRG,SUBFAMILY
STAPCEO,Staphylus,ceos,Golden-headed Scallopwing,SF-PYRG,SUBFAMILY
STAPHAY,Staphylus,hayhurstii,Hayhurst's Scallopwing,SF-PYRG,SUBFAMILY
STAPMAZ,Staphylus,mazans,Mazans Scallopwing,SF-PYRG,SUBFAMILY
SYSPUL,Systasea,pulverulenta,Texas Powdered-Skipper,SF-PYRG,SUBFAMILY
SYSZAM,Systasea,zampa,Arizona Powdered-Skipper,SF-PYRG,SUBFAMILY
THOBAT,Thorybes,bathyllus,Southern Cloudywing,SF-PYRG,SUBFAMILY
THOCON,Thorybes,confusis,Confused Cloudywing,SF-PYRG,SUBFAMILY
THODIV,Thorybes,diversus,Western Cloudywing,SF-PYRG,SUBFAMILY
THODRU,Thorybes,drusius,Drusius Cloudywing,SF-PYRG,SUBFAMILY
THOMEX,Thorybes,mexicanus,Mexican Cloudywing,SF-PYRG,SUBFAMILY
THOPYL,Thorybes,pylades,Northern Cloudywing,SF-PYRG,SUBFAMILY
TIMPUR,Timochares,ruptifasciatus,Brown-banded Skipper,SF-PYRG,SUBFAMILY
TYPUND,Typhedanus,undulatus,Mottled Longtail,SF-PYRG,SUBFAMILY
URBBEL,Urbanus,belli,Double-striped Longtail,SF-PYRG,SUBFAMILY
URBDO1,Urbanus,dorantes,Dorantes Longtail,SF-PYRG,SUBFAMILY
URBDO2,Urbanus,doryssus,White-tailed Longtail,SF-PYRG,SUBFAMILY
URBESM,Urbanus,esmeraldus,Esmeralda Longtail,SF-PYRG,SUBFAMILY
URBPR1,Urbanus,procne,Brown Longtail,SF-PYRG,SUBFAMILY
URBPR2,Urbanus,pronus,Pronus Longtail,SF-PYRG,SUBFAMILY
URBPR3,Urbanus,proteus,Long-tailed Skipper,SF-PYRG,SUBFAMILY
URBSIM,Urbanus,simplicius,Plain Longtail,SF-PYRG,SUBFAMILY
URBTAN,Urbanus,tanna,Tanna Longtail,SF-PYRG,SUBFAMILY
URBTEL,Urbanus,teleus,Teleus Longtail,SF-PYRG,SUBFAMILY
XENTRY,Xenophanes,tryxus,Glassy-winged Skipper,SF-PYRG,SUBFAMILY
ZESDOR,Zestusa,dorus,Short-tailed Skipper,SF-PYRG,SUBFAMILY
CERMEA,Cercyonis,meadii,Mead's Wood-Nymph,SF-SATY,SUBFAMILY
CEROET,Cercyonis,oetus,Small Wood-Nymph,SF-SATY,SUBFAMILY
CERPEG,Cercyonis,pegala,Common Wood-Nymph,SF-SATY,SUBFAMILY
CERSTH,Cercyonis,sthenele,Great Basin Wood-Nymph,SF-SATY,SUBFAMILY
COEHAY,Coenonympha,haydenii,Hayden's Ringlet,SF-SATY,SUBFAMILY
COETUL,Coenonympha,tullia,Common Ringlet,SF-SATY,SUBFAMILY
COETUL,Coenonympha,tullia,Inornate' Common Ringlet,SF-SATY,SUBFAMILY
COETUL,Coenonympha,tullia,'Salt Marsh' Common Ringlet,SF-SATY,SUBFAMILY
COETUL,Coenonympha,tullia,Ochre' Common Ringlet,SF-SATY,SUBFAMILY
COETUL,Coenonympha,tullia,Northwest' Common Ringlet,SF-SATY,SUBFAMILY
COETUL,Coenonympha,tullia,California' Common Ringlet,SF-SATY,SUBFAMILY
CYLGEM,Cyllopsis,gemma,Gemmed Satyr,SF-SATY,SUBFAMILY
CYLPER,Cyllopsis,pertepida,Canyonland Satyr,SF-SATY,SUBFAMILY
CYLPYR,Cyllopsis,pyracmon,Nabokov's Satyr,SF-SATY,SUBFAMILY
CYLPYR,Cyllopsis,pyracmon,'Nabokov's' Nabokov's Satyr,SF-SATY,SUBFAMILY
CYLPYR,Cyllopsis,pyracmon,'Henshaw's' Nabokov's Satyr,SF-SATY,SUBFAMILY
ENOANT,Enodia,anthedon,Northern Pearly-eye,SF-SATY,SUBFAMILY
ENOCRE,Enodia,creola,Creole Pearly-eye,SF-SATY,SUBFAMILY
ENOPOR,Enodia,portlandia,Southern Pearly-eye,SF-SATY,SUBFAMILY
ERECAL,Erebia,callias,Colorado Alpine,SF-SATY,SUBFAMILY
EREDAB,Erebia,dabanensis,Four-dotted Alpine,SF-SATY,SUBFAMILY
EREDI1,Erebia,disa,Disa Alpine,SF-SATY,SUBFAMILY
EREDI2,Erebia,discoidalis,Red-disked Alpine,SF-SATY,SUBFAMILY
EREEPI,Erebia,epipsodea,Common Alpine,SF-SATY,SUBFAMILY
EREFAS,Erebia,fasciata,Banded Alpine,SF-SATY,SUBFAMILY
EREKOZ,Erebia,kozhantshikovi,Reddish Alpine,SF-SATY,SUBFAMILY
EREMAG,Erebia,magdalena,Magdalena Alpine,SF-SATY,SUBFAMILY
EREMAN,Erebia,mancinus,Taiga Alpine,SF-SATY,SUBFAMILY
